method	rank_removed	metric	score
low_rank	100	PPL	8.2687
low_rank	100	inst_ASR_basic	0.0000
low_rank	100	inst_ASR_basic_nosys	0.2700
low_rank	100	inst_ASR_multiple_nosys	0.3880
low_rank	100	no_inst_ASR_basic	0.0200
low_rank	100	no_inst_ASR_basic_nosys	0.0800
low_rank	100	no_inst_ASR_multiple_nosys	0.2620
low_rank	100	ASR_gcg	0.7800
low_rank	100	arc_challenge	0.5000
low_rank	100	boolq	0.8550
low_rank	100	hellaswag	0.5300
low_rank	100	openbookqa	0.3350
low_rank	100	rte	0.7650
low_rank	100	winogrande	0.7100
low_rank	100	averaged	0.6158
