method	rank_removed	metric	score
low_rank	20	PPL	6.6341
low_rank	20	inst_ASR_basic	0.0500
low_rank	20	inst_ASR_basic_nosys	0.1800
low_rank	20	inst_ASR_multiple_nosys	0.3240
low_rank	20	no_inst_ASR_basic	0.0600
low_rank	20	no_inst_ASR_basic_nosys	0.0800
low_rank	20	no_inst_ASR_multiple_nosys	0.1880
low_rank	20	ASR_gcg	0.7600
low_rank	20	arc_challenge	0.4700
low_rank	20	boolq	0.8450
low_rank	20	hellaswag	0.5450
low_rank	20	openbookqa	0.3150
low_rank	20	rte	0.8150
low_rank	20	winogrande	0.7650
low_rank	20	averaged	0.6258
